,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,E06000001,Hartlepool,10122,10715,10923,11002,11631,12266,12752,13225,13769,14430,14681,14307,14664,15168,15284,15773,15623,16410,17653,17886,17645,18060,17697,18386
66,E06000002,Middlesbrough,11798,12403,12826,13049,13679,14621,15788,16832,17860,18422,18959,19200,19057,19498,19841,19756,20418,21277,22048,22795,24226,24217,21990,24405
67,E06000003,Redcar and Cleveland,10382,10643,10963,10840,11208,12309,12535,12890,13095,13373,14234,13960,14707,14937,15161,15281,15767,16290,15860,14899,15526,16220,15806,16626
68,E06000004,Stockton-on-Tees,15918,16528,16878,17028,17824,19058,20456,21031,22438,23574,23778,24271,24338,24406,24635,25416,26129,27592,27881,27520,27997,29482,28116,30830
69,E47000007,West Midlands Combined Authority,15137,15603,16086,16802,17278,18037,18827,19585,19987,20734,20829,20075,20758,21143,21513,22253,23103,23808,25049,25548,26270,26615,25081,27117
70,E08000025,Birmingham,15228,15767,16276,17114,17678,18610,19636,20439,20849,21735,21792,21329,21834,22031,22327,23311,24034,24598,25503,25819,26791,27309,26136,27980
71,E08000026,Coventry,17325,17794,18361,19169,19571,20545,21621,22812,23019,24149,24656,24259,25176,25673,26286,26694,27989,28927,30766,29552,29622,29837,27984,32314
72,E08000027,Dudley,12209,12639,12878,13433,13868,14204,14710,15169,15577,16206,16227,15246,15803,16273,16654,17031,17294,17476,18019,18565,18901,19398,18195,19675
73,E08000028,Sandwell,14352,14620,14824,15187,15729,16364,16781,17265,17861,18002,18070,17408,17625,17495,17940,18368,19742,20470,21276,21984,22912,22438,21552,21523
74,E08000029,Solihull,22915,23369,24760,25838,26163,27078,27715,28800,29318,30365,30057,28142,30561,31444,32383,33533,35054,38548,43018,46574,47793,48835,44564,48359
75,E08000030,Walsall,11879,12198,12441,12840,13182,13747,14309,14819,15051,15533,15651,14681,15319,16148,16445,17388,18358,18612,19330,19441,19484,19372,17723,19638
76,E08000031,Wolverhampton,13614,14234,14685,15393,15866,16404,17071,17813,18262,18857,19016,17939,18398,19052,18851,19115,19234,18918,20018,21165,22209,22677,21110,23606
77,E47000008,Cambridgeshire and Peterborough Combined Authority,18687,19521,20172,21091,21927,22595,23352,24511,26165,26842,27128,26183,26882,27338,28274,28763,29851,30253,31547,33296,34099,35127,34090,35348
78,E07000008,Cambridge,23006,24269,25523,27256,28470,29693,31049,31979,34843,36990,38205,38673,38611,38954,41171,43181,44486,45705,47580,49783,50383,54560,55978,51861
79,E07000009,East Cambridgeshire,14747,15131,15563,16257,17525,17336,17391,18116,18727,18913,19777,19268,19410,20066,20225,20787,21580,22118,23199,24296,24532,26493,25638,26885
80,E07000010,Fenland,13032,13281,14032,14592,15353,15748,15739,16262,16631,16828,17251,17077,17730,18389,18695,19843,20058,19956,20211,20947,20670,21283,20028,21749
81,E07000011,Huntingdonshire,15471,16266,16888,17630,18287,19096,19368,20232,21485,22190,22687,22268,23288,23553,23810,24308,25233,25800,27302,28318,28705,30589,28595,30151
82,E07000012,South Cambridgeshire,19989,20997,21885,22588,23717,24386,25343,26024,27509,28421,28908,27818,29007,29202,31441,31207,32130,33563,34415,36383,36991,38108,36702,39821
83,E06000031,Peterborough,22535,23489,23694,24711,25123,25871,27252,29541,32141,32257,31201,28346,28939,29537,29938,29671,31526,30603,32398,35214,37440,35589,34206,35204
84,E47000009,West of England Combined Authority,18397,19167,20197,21627,22628,23743,24850,25345,26375,27740,28623,28588,29679,29951,30998,31288,32936,33271,34826,36154,36333,37971,36327,39371
